"","child","child_t1","child_t2"
"576",1,1,NA
"577",0,1,1
"578",0,1,1
"579",1,NA,NA
"580",1,NA,NA
"581",1,NA,NA
"582",1,NA,NA
"583",1,NA,NA
"584",0,NA,NA
"585",0,NA,NA
"586",1,NA,NA
"587",0,NA,NA
"588",0,NA,NA
"589",0,NA,NA
"590",0,NA,NA
"591",0,NA,NA
"592",0,NA,NA
"593",0,NA,NA
"594",0,NA,NA
"595",0,NA,NA
"596",0,NA,NA
"597",1,NA,NA
"598",1,NA,NA
"599",1,NA,NA
"600",1,NA,NA
"601",1,NA,NA
"602",1,NA,NA
"603",1,1,1
"604",1,NA,NA
"605",1,NA,NA
"606",1,NA,1
"607",0,NA,0
"608",1,NA,1
"609",1,NA,NA
"610",1,NA,1
"611",1,NA,NA
"612",0,NA,0
"613",1,NA,NA
"614",0,NA,0
"615",1,NA,NA
"616",0,NA,0
"617",0,NA,0
"618",0,NA,NA
"619",0,NA,0
"620",1,NA,1
"621",1,NA,1
"622",1,NA,1
"623",1,NA,1
"624",1,NA,NA
"625",1,NA,NA
"626",1,NA,NA
"627",1,NA,1
"628",1,NA,NA
"629",1,NA,NA
"630",0,NA,1
"631",1,NA,NA
"632",1,NA,NA
"633",1,NA,NA
"634",1,NA,1
"635",0,NA,NA
"636",1,NA,NA
"637",1,NA,NA
"638",1,NA,1
"639",1,NA,NA
"640",1,1,NA
"641",1,NA,NA
"642",0,NA,NA
"643",1,NA,NA
"644",0,NA,NA
"645",1,NA,NA
"646",1,NA,NA
"647",1,NA,0
"648",1,NA,NA
"649",1,1,NA
"650",1,NA,NA
"651",1,NA,1
"652",1,NA,NA
"653",1,NA,NA
"654",1,NA,1
"655",1,NA,NA
"656",1,1,NA
"657",1,NA,1
"658",1,NA,NA
"659",1,1,1
"660",0,NA,NA
"661",0,NA,NA
"662",1,NA,NA
"663",0,NA,NA
"664",1,NA,1
"665",1,NA,1
"666",1,NA,1
"667",1,NA,NA
"668",1,NA,NA
"669",1,NA,1
"670",1,NA,NA
"671",1,NA,NA
"672",1,NA,1
"673",1,NA,1
"674",1,NA,NA
"675",1,NA,NA
"676",1,NA,NA
"677",1,NA,1
"678",1,NA,NA
"679",1,NA,NA
"680",0,NA,1
"681",1,1,1
"682",1,NA,NA
"683",1,1,NA
"684",1,NA,1
"685",1,NA,NA
"686",1,NA,1
"687",1,NA,NA
"688",1,NA,1
"689",1,NA,1
"690",1,NA,NA
"691",1,NA,NA
"692",1,NA,1
"693",1,NA,1
"694",1,NA,NA
"695",1,NA,NA
"696",1,NA,NA
"697",1,1,NA
"698",0,0,0
"699",0,0,0
"700",1,NA,NA
"701",0,NA,NA
"702",1,NA,NA
"703",1,NA,NA
"704",1,NA,NA
"705",1,1,1
"706",0,NA,0
"707",1,NA,NA
"708",1,NA,NA
"709",1,NA,NA
"710",1,NA,NA
"711",1,NA,1
"712",1,NA,1
"713",1,NA,NA
"714",1,NA,NA
"715",0,NA,0
"716",1,NA,1
"717",1,NA,NA
"718",1,NA,NA
"719",0,NA,NA
"720",0,NA,NA
"721",0,NA,NA
"722",1,NA,NA
"723",0,NA,NA
"724",0,NA,NA
"725",1,NA,NA
"726",0,NA,NA
"727",0,NA,NA
"728",0,NA,NA
"729",0,NA,NA
"730",0,NA,NA
"731",0,NA,NA
"732",0,NA,NA
"733",0,NA,NA
"734",0,NA,NA
"735",1,NA,NA
